"","timeval","possible_event","num_spec"
"1",1.86535244054141,1,0
"2",1.86544174459519,2,1
"3",1.86554146404553,2,1
"4",1.86606119793295,2,1
"5",1.86621733984142,2,1
"6",1.86654033397218,2,1
"7",1.86812669409136,2,1
"8",1.86970304248968,2,1
"9",1.8711447269622,2,1
"10",1.8717635719923,2,1
"11",1.87201733338244,2,1
"12",1.87235095485816,2,1
"13",1.87322995862526,2,1
"14",1.87377954924177,2,1
"15",1.87439880349044,2,1
"16",1.87476470023779,2,1
"17",1.87538687209504,2,1
"18",1.87561421244851,2,1
"19",1.87579419102178,2,1
"20",1.87703682641446,2,1
"21",1.87916594035883,2,1
"22",1.88228039929218,2,1
"23",1.88279005645021,2,1
"24",1.88409053987049,2,1
"25",1.88443368422104,2,1
"26",1.88641486301759,2,1
"27",1.88740044848964,2,1
"28",1.88766319012179,2,1
"29",1.88841893767105,2,1
"30",1.88968350451724,2,1
"31",1.88978543320718,2,1
"32",1.89025688331492,2,1
"33",1.89090592497451,2,1
"34",1.89337363075737,2,1
"35",1.89354025293271,2,1
"36",1.89392660014161,2,1
"37",1.89394237329419,2,1
"38",1.89400929344983,2,1
"39",1.89529730714837,2,1
"40",1.89555560433753,2,1
"41",1.89601486389716,2,1
"42",1.8968322515245,2,1
"43",1.89809843977334,2,1
"44",1.89815324519967,2,1
"45",1.8981843353705,2,1
"46",1.9006175612759,2,1
"47",1.90069510729844,2,1
"48",1.90141347305206,2,1
"49",1.90200058361618,2,1
"50",1.90230085471621,2,1
"51",1.90244399018713,2,1
"52",1.90457853668727,2,1
"53",1.90689534471944,2,1
"54",1.90700931511277,2,1
"55",1.90779597236102,2,1
"56",1.9080855727591,2,1
"57",1.9092823720642,2,1
"58",1.91131567698648,2,1
"59",1.91167815789842,2,1
"60",1.91271568904772,2,1
"61",1.91477441711836,2,1
"62",1.91606871680732,2,1
"63",1.9163977377898,2,1
"64",1.91674846114153,2,1
"65",1.91680597660147,2,1
"66",1.91689065810426,2,1
"67",1.91779070086049,2,1
"68",1.91802119836015,2,1
"69",1.91913884400631,2,1
"70",1.91983649940592,2,1
"71",1.92401434902213,2,1
"72",1.92452276709576,2,1
"73",1.92564156725837,2,1
"74",1.92949848750606,2,1
"75",1.92957272139284,2,1
"76",1.92977566171682,2,1
"77",1.93120899035777,2,1
"78",1.93154837048336,2,1
"79",1.93161637752989,2,1
"80",1.93273509982552,2,1
"81",1.93322277405473,2,1
"82",1.93457215072687,2,1
"83",1.93622864581975,2,1
"84",1.9372192758877,2,1
"85",1.93759199818952,2,1
"86",1.94009909328929,2,1
"87",1.94160232938706,2,1
"88",1.94181310064537,2,1
"89",1.9436121164825,2,1
"90",1.94435028250411,2,1
"91",1.94591126256387,2,1
"92",1.94779971019723,2,1
"93",1.94905341782331,2,1
"94",1.95152202167947,2,1
"95",1.95153566480205,2,1
"96",1.95178900430144,2,1
"97",1.95265822621572,2,1
"98",1.95443993723419,2,1
"99",1.95464918529074,2,1
"100",1.95624279809383,2,1
"101",1.96101054015268,2,1
"102",1.96242479951022,2,1
"103",1.96589321440233,2,1
"104",1.96620829713798,2,1
"105",1.96659282771441,2,1
"106",1.96746831024,2,1
"107",1.96873828788446,2,1
"108",1.96924185054323,2,1
"109",1.97024837357956,2,1
"110",1.97245802645358,2,1
"111",1.97269172948834,2,1
"112",1.97557181743485,3,1
"113",1.97624196808071,2,1
"114",1.97796077355189,2,1
"115",1.97837138732396,2,1
"116",1.9795146896456,2,1
"117",1.98089564968835,2,1
"118",1.98089610871564,2,1
"119",1.98231840474343,2,1
"120",1.98242854279611,2,1
"121",1.98265334476068,2,1
"122",1.98405531956339,2,1
"123",1.98488156477195,2,1
"124",1.9850314733366,2,1
"125",1.98581870060944,2,1
"126",1.98625795939312,2,1
"127",1.98713546230116,2,1
"128",1.98792867485728,2,1
"129",1.98829882577745,2,1
"130",1.99233218377557,2,1
"131",1.99355045740188,2,1
"132",1.99458003216264,2,1
"133",1.99479645255624,2,1
"134",1.99501781289337,2,1
"135",1.99524169549244,2,1
"136",1.99630402748528,2,1
"137",1.99677672575982,2,1
"138",1.99737685658141,2,1
"139",1.99996681584272,2,1
"140",2.0012092561607,2,1
"141",2.00125022411572,2,1
"142",2.00128728015733,2,1
"143",2.00476708448651,2,1
"144",2.00713645814466,2,1
"145",2.0086417745779,2,1
"146",2.00904328846683,2,1
"147",2.00904554645586,2,1
"148",2.0090493199912,2,1
"149",2.00954371688228,2,1
"150",2.00979142324926,2,1
"151",2.00979374230487,2,1
"152",2.00984727460415,2,1
"153",2.01433043890594,2,1
"154",2.01508221469277,2,1
"155",2.01756061405928,2,1
"156",2.01756553678034,2,1
"157",2.02338835110242,2,1
"158",2.02480854676521,2,1
"159",2.02498510410765,2,1
"160",2.02630786201967,2,1
"161",2.02675356328197,2,1
"162",2.02707760823579,2,1
"163",2.02755513716923,2,1
"164",2.0289580460287,2,1
"165",2.02958059786009,2,1
"166",2.03140621358031,2,1
"167",2.03156047624382,2,1
"168",2.03233106139549,2,1
"169",2.03417689217429,2,1
"170",2.03509992093674,2,1
"171",2.03571995208073,2,1
"172",2.03608485796887,2,1
"173",2.03637829622022,2,1
"174",2.03644860643855,2,1
"175",2.03735461380867,2,1
"176",2.03759304393285,2,1
"177",2.03782481850957,2,1
"178",2.03874020072469,2,1
"179",2.03900153446611,2,1
"180",2.03902588114574,2,1
"181",2.0404097504632,2,1
"182",2.04393948540963,2,1
"183",2.04449482937005,2,1
"184",2.04518241486232,2,1
"185",2.04552751604585,2,1
"186",2.04724040453539,2,1
"187",2.0498953755896,2,1
"188",2.04993015603242,2,1
"189",2.05122433876728,2,1
"190",2.05419101680989,2,1
"191",2.05423893296201,2,1
"192",2.05473308121053,2,1
"193",2.05778731198486,2,1
"194",2.0578976303165,2,1
"195",2.05996477741038,2,1
"196",2.06006269743523,2,1
"197",2.06027163857567,2,1
"198",2.06120073395354,1,1
"199",2.06211422619977,2,1
"200",2.06310163643656,2,1
"201",2.06405170662235,2,1
"202",2.06408489808366,2,1
"203",2.06533304976157,2,1
"204",2.06740275370913,2,1
"205",2.06765494109928,2,1
"206",2.0683624134986,2,1
"207",2.0686459796093,2,1
"208",2.06880518740706,2,1
"209",2.06903052791254,2,1
"210",2.06907047198998,2,1
"211",2.07033943924321,2,1
"212",2.07083539021959,2,1
"213",2.07208357686787,2,1
"214",2.07213137072576,2,1
"215",2.07395579895784,2,1
"216",2.07563716303508,2,1
"217",2.07743036270715,2,1
"218",2.07878247509676,2,1
"219",2.07948297930436,2,1
"220",2.08149437140693,2,1
"221",2.08224526810152,2,1
"222",2.08363441726632,2,1
"223",2.08376797592724,2,1
"224",2.08381649168388,2,1
"225",2.08696107304237,2,1
"226",2.08905610008964,2,1
"227",2.09290661413366,2,1
"228",2.09454479392743,2,1
"229",2.09497008070016,2,1
"230",2.09771959523691,2,1
"231",2.09773454029263,2,1
"232",2.09836484389251,2,1
"233",2.09992149351069,2,1
